Kategori,Kode PTN,Nama PTN,Kota,Provinsi1,Provinsi2,Link Prodi
akademik,1321,"UNIVERSITAS INDONESIA
(https://penerimaan.ui.ac.id/)",Kota Jakarta Pusat,Jakarta Raya,Jawa Barat,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=321
akademik,1323,"UNIVERSITAS NEGERI JAKARTA
(http://penmaba.unj.ac.id/)",Kota Jakarta Timur,Jakarta Raya,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=323
akademik,1324,"UPN ""VETERAN"" JAKARTA
(https://penmaru.upnvj.ac.id/)",Kota Jakarta Selatan,Jakarta Raya,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=324
akademik,1331,"UNIVERSITAS SINGAPERBANGSA KARAWANG
(https://pmb.unsika.ac.id/)",Kabupaten Karawang,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=331
akademik,1332,"INSTITUT TEKNOLOGI BANDUNG
(https://admission.itb.ac.id)",Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=332
akademik,1333,"UNIVERSITAS PADJADJARAN
(https://smup.unpad.ac.id/)",Kabupaten Sumedang,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=333
akademik,1334,"UNIVERSITAS PENDIDIKAN INDONESIA
(https://pmb.upi.edu/)",Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=334
akademik,1335,"ISBI BANDUNG
(https://pmb.isbi.ac.id/)",Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=335
akademik,1341,"INSTITUT PERTANIAN BOGOR
(https://registrasi.admisi.ipb.ac.id)",Kabupaten Bogor,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=341
akademik,1342,"UNIVERSITAS SILIWANGI
(https://pmb.unsil.ac.id/)",Kota Tasikmalaya,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=342
akademik,1351,"UNIVERSITAS JENDERAL SOEDIRMAN
(http://spmb.unsoed.ac.id/)",Kabupaten Banyumas,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=351
akademik,1352,"UNIVERSITAS TIDAR
(https://smart.untidar.ac.id)",Kota Magelang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=352
akademik,1353,"UNIVERSITAS SEBELAS MARET
(https://spmb.uns.ac.id)",Kota Surakarta,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=353
akademik,1354,"ISI SURAKARTA
(https://spmb.isi-ska.ac.id/)",Kota Surakarta,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=354
akademik,1355,"UNIVERSITAS DIPONEGORO
(https://pmb.undip.ac.id/)",Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=355
akademik,1356,"UNIVERSITAS NEGERI SEMARANG
(https://unnes.ac.id/admission)",Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=356
